term,estimate,std.error,statistic,p.value,conf.low_95,conf.high_95,type
Area,1.79018244731397,0.437655115405678,4.09039534624103,3.12821639852625e-4,1.01231449288397,2.73543890245908,Between-region speciation
Fragmentation,-0.304159294917934,0.13613575648974,-2.23423516907446,0.0333402560055656,-0.568607201660967,-0.0216768953543238,Between-region speciation
Area,1.14620016262604,0.677100549578138,1.69280642784911,0.10085400101617,-0.0100357129918544,2.72335294333383,Within-region speciation
Area,1.28760869273633,0.4649826974038,2.76915399202079,0.00954506625054805,0.463752894746269,2.31109880267878,Number Endemics
Isolation,NA,NA,NA,NA,NA,NA,Between-region speciation
Isolation Squared,NA,NA,NA,NA,NA,NA,Between-region speciation
Max Elevation,NA,NA,NA,NA,NA,NA,Between-region speciation
Mixed Origin,NA,NA,NA,NA,NA,NA,Between-region speciation
Continental,NA,NA,NA,NA,NA,NA,Between-region speciation
Isolation,NA,NA,NA,NA,NA,NA,Number Endemics
Isolation Squared,NA,NA,NA,NA,NA,NA,Number Endemics
Max Elevation,NA,NA,NA,NA,NA,NA,Number Endemics
Mixed Origin,NA,NA,NA,NA,NA,NA,Number Endemics
Continental,NA,NA,NA,NA,NA,NA,Number Endemics
Fragmentation,NA,NA,NA,NA,NA,NA,Number Endemics
Isolation,NA,NA,NA,NA,NA,NA,Within-region speciation
Isolation Squared,NA,NA,NA,NA,NA,NA,Within-region speciation
Max Elevation,NA,NA,NA,NA,NA,NA,Within-region speciation
Mixed Origin,NA,NA,NA,NA,NA,NA,Within-region speciation
Continental,NA,NA,NA,NA,NA,NA,Within-region speciation
Fragmentation,NA,NA,NA,NA,NA,NA,Within-region speciation
