term,estimate,std.error,statistic,p.value,conf.low_95,conf.high_95,type
Area,1.75292077816321,0.312580167910417,5.60858127315423,2.1061072169797e-7,1.18621496322283,2.42135624640115,Cladogenesis
Isolation,0.618499607135927,0.367847759869953,1.6814581298758,0.0961201676828971,-0.0668865218472878,1.38786125699327,Cladogenesis
Fragmentation,0.418292860958095,0.15228973004991,2.74683304009963,0.00725365047486685,0.132718930468437,0.727670465081869,Cladogenesis
Area,0.989754940710756,0.140134512658832,7.06289912388866,1.33302367906915e-10,0.718921851506695,1.26839715114593,Anagenesis
Isolation,3.84812100054174,1.16387364763522,3.30630110197937,0.00126182204396929,1.72373557197316,6.29266756841171,Anagenesis
Isolation Squared,-0.824789174202659,0.249701270316657,-3.30309969487814,0.00127507576577962,-1.34563873592692,-0.36510705080203,Anagenesis
Fragmentation,0.101053818009367,0.0529143846060088,1.90975841489561,0.0586633755977443,0.00266052637831948,0.209968398568929,Anagenesis
Max Elevevation,1.49981006767466,0.561472511895104,2.67120924862733,0.00865624442288669,0.475345735698415,2.66608193622376,Anagenesis
Area,1.02513196956015,0.150317066449451,6.81979760365324,4.47656582801958e-10,0.735079689271904,1.32452571348385,Number Endemics
Isolation,4.16140972664096,1.27729483732983,3.25798680541162,0.00147539136699273,1.83513421015686,6.85285911966535,Number Endemics
Isolation Squared,-0.880798425023924,0.272892891561338,-3.22763418271724,0.00162650119434348,-1.45180943492789,-0.379539075249818,Number Endemics
Fragmentation,0.128850527389921,0.0586783109146522,2.19587996623377,0.0301079669412219,0.0198901329369093,0.249503808761597,Number Endemics
Max Elevevation,1.44506605090801,0.598294036178472,2.41531080626876,0.0172969029913352,0.359119184040102,2.69192392549146,Number Endemics
Max Elevation,NA,NA,NA,NA,NA,NA,Anagenesis
Mixed Origin,NA,NA,NA,NA,NA,NA,Anagenesis
Continental,NA,NA,NA,NA,NA,NA,Anagenesis
Isolation Squared,NA,NA,NA,NA,NA,NA,Cladogenesis
Max Elevation,NA,NA,NA,NA,NA,NA,Cladogenesis
Mixed Origin,NA,NA,NA,NA,NA,NA,Cladogenesis
Continental,NA,NA,NA,NA,NA,NA,Cladogenesis
Max Elevation,NA,NA,NA,NA,NA,NA,Number Endemics
Mixed Origin,NA,NA,NA,NA,NA,NA,Number Endemics
Continental,NA,NA,NA,NA,NA,NA,Number Endemics
